account_id,entity_id,account_type,kyc_tier,status,opened_on,risk_category,is_fraud,pattern_type,branch_name,branch_code
ACC_00018,ENT_00019,SAVINGS,1,ACTIVE,2022-07-14,HIGH,True,SMURFING,Anna Salai Chennai,TN019
ACC_00019,ENT_00020,SAVINGS,1,ACTIVE,2024-06-06,HIGH,True,SMURFING,Shivaji Nagar Pune,MH033
ACC_00020,ENT_00021,SAVINGS,1,ACTIVE,2023-05-24,HIGH,True,SMURFING,Mumbai Main Branch,MH001
ACC_00021,ENT_00022,SAVINGS,1,ACTIVE,2023-10-20,HIGH,True,SMURFING,Kalyan East Branch,MH042
ACC_00022,ENT_00023,SAVINGS,1,ACTIVE,2021-01-05,HIGH,True,SMURFING,Connaught Place Delhi,DL011
ACC_00023,ENT_00024,SAVINGS,1,ACTIVE,2022-10-02,HIGH,True,SMURFING,MG Road Bengaluru,KA005
ACC_00024,ENT_00025,SAVINGS,1,ACTIVE,2021-05-15,HIGH,True,SMURFING,Cyber City Gurugram,HR022
ACC_00025,ENT_00026,SAVINGS,1,ACTIVE,2024-08-20,HIGH,True,SMURFING,BKC Corporate Tower,MH099
ACC_00026,ENT_00027,SAVINGS,1,ACTIVE,2024-07-09,HIGH,True,SMURFING,Salt Lake Kolkata,WB014
ACC_00027,ENT_00028,SAVINGS,1,ACTIVE,2022-09-04,HIGH,True,SMURFING,Banjara Hills Hyderabad,TS008
ACC_00028,ENT_00029,SAVINGS,1,ACTIVE,2023-07-04,HIGH,True,SMURFING,Anna Salai Chennai,TN019
ACC_00029,ENT_00030,SAVINGS,1,ACTIVE,2023-11-22,HIGH,True,SMURFING,Shivaji Nagar Pune,MH033
ACC_00030,ENT_00031,SAVINGS,1,ACTIVE,2024-09-22,HIGH,True,SMURFING,Mumbai Main Branch,MH001
ACC_00031,ENT_00032,CURRENT,3,ACTIVE,2023-01-08,CRITICAL,True,ROUND_TRIP,Kalyan East Branch,MH042
ACC_00032,ENT_00033,CURRENT,3,ACTIVE,2024-10-02,CRITICAL,True,ROUND_TRIP,Connaught Place Delhi,DL011
ACC_00033,ENT_00034,CURRENT,3,ACTIVE,2021-04-10,CRITICAL,True,ROUND_TRIP,MG Road Bengaluru,KA005
ACC_00034,ENT_00035,CURRENT,3,ACTIVE,2022-03-25,CRITICAL,True,ROUND_TRIP,Cyber City Gurugram,HR022
ACC_00035,ENT_00036,CURRENT,3,ACTIVE,2023-05-11,CRITICAL,True,ROUND_TRIP,BKC Corporate Tower,MH099
ACC_00036,ENT_00037,CURRENT,3,ACTIVE,2021-01-16,CRITICAL,True,ROUND_TRIP,Salt Lake Kolkata,WB014
ACC_00037,ENT_00038,CURRENT,3,ACTIVE,2024-03-05,CRITICAL,True,ROUND_TRIP,Banjara Hills Hyderabad,TS008
ACC_00038,ENT_00039,CURRENT,3,ACTIVE,2024-09-23,CRITICAL,True,ROUND_TRIP,Anna Salai Chennai,TN019
ACC_00039,ENT_00040,CURRENT,3,ACTIVE,2022-09-18,CRITICAL,True,ROUND_TRIP,Shivaji Nagar Pune,MH033
ACC_00040,ENT_00041,CURRENT,3,ACTIVE,2023-02-13,CRITICAL,True,ROUND_TRIP,Mumbai Main Branch,MH001
ACC_00041,ENT_00042,CURRENT,3,ACTIVE,2021-07-01,CRITICAL,True,ROUND_TRIP,Kalyan East Branch,MH042
ACC_00042,ENT_00043,CURRENT,3,ACTIVE,2024-02-28,CRITICAL,True,ROUND_TRIP,Connaught Place Delhi,DL011
ACC_00043,ENT_00044,CURRENT,3,ACTIVE,2023-10-14,CRITICAL,True,ROUND_TRIP,MG Road Bengaluru,KA005
ACC_00044,ENT_00045,CURRENT,3,ACTIVE,2024-12-21,CRITICAL,True,ROUND_TRIP,Cyber City Gurugram,HR022
ACC_00045,ENT_00046,CURRENT,3,ACTIVE,2024-05-04,CRITICAL,True,ROUND_TRIP,BKC Corporate Tower,MH099
ACC_00046,ENT_00047,SAVINGS,1,ACTIVE,2024-01-11,HIGH,True,KYC_MISMATCH,Salt Lake Kolkata,WB014
ACC_00047,ENT_00048,SAVINGS,1,ACTIVE,2022-10-15,HIGH,True,KYC_MISMATCH,Banjara Hills Hyderabad,TS008
ACC_00048,ENT_00049,SAVINGS,1,ACTIVE,2023-02-14,HIGH,True,KYC_MISMATCH,Anna Salai Chennai,TN019
ACC_00049,ENT_00050,SAVINGS,1,ACTIVE,2021-04-14,HIGH,True,KYC_MISMATCH,Shivaji Nagar Pune,MH033
ACC_00050,ENT_00051,SAVINGS,1,ACTIVE,2024-09-03,HIGH,True,KYC_MISMATCH,Mumbai Main Branch,MH001
ACC_00051,ENT_00052,SAVINGS,1,ACTIVE,2024-05-24,HIGH,True,KYC_MISMATCH,Kalyan East Branch,MH042
ACC_00052,ENT_00053,SAVINGS,1,ACTIVE,2023-04-11,HIGH,True,KYC_MISMATCH,Connaught Place Delhi,DL011
ACC_00053,ENT_00054,SAVINGS,1,ACTIVE,2022-02-17,HIGH,True,KYC_MISMATCH,MG Road Bengaluru,KA005
ACC_00054,ENT_00055,SAVINGS,1,ACTIVE,2021-09-17,HIGH,True,KYC_MISMATCH,Cyber City Gurugram,HR022
ACC_00055,ENT_00056,SAVINGS,1,ACTIVE,2022-06-12,HIGH,True,KYC_MISMATCH,BKC Corporate Tower,MH099
ACC_00056,ENT_00057,SAVINGS,1,ACTIVE,2022-04-04,HIGH,True,KYC_MISMATCH,Salt Lake Kolkata,WB014
ACC_00057,ENT_00058,SAVINGS,1,ACTIVE,2022-05-07,HIGH,True,KYC_MISMATCH,Banjara Hills Hyderabad,TS008
ACC_00058,ENT_00059,SAVINGS,1,ACTIVE,2022-10-05,HIGH,True,KYC_MISMATCH,Anna Salai Chennai,TN019
ACC_00059,ENT_00060,SAVINGS,1,ACTIVE,2021-03-25,HIGH,True,KYC_MISMATCH,Shivaji Nagar Pune,MH033
ACC_00060,ENT_00061,SAVINGS,1,ACTIVE,2024-08-25,HIGH,True,KYC_MISMATCH,Mumbai Main Branch,MH001
ACC_00061,ENT_00062,SAVINGS,2,DORMANT,2024-11-19,MEDIUM,True,DORMANT,Kalyan East Branch,MH042
ACC_00062,ENT_00063,SAVINGS,2,DORMANT,2023-11-11,MEDIUM,True,DORMANT,Connaught Place Delhi,DL011
ACC_00063,ENT_00064,SAVINGS,2,DORMANT,2022-08-03,MEDIUM,True,DORMANT,MG Road Bengaluru,KA005
ACC_00064,ENT_00065,SAVINGS,2,DORMANT,2024-08-21,MEDIUM,True,DORMANT,Cyber City Gurugram,HR022
ACC_00065,ENT_00066,SAVINGS,2,DORMANT,2023-05-19,MEDIUM,True,DORMANT,BKC Corporate Tower,MH099
ACC_00066,ENT_00067,SAVINGS,2,DORMANT,2021-06-17,MEDIUM,True,DORMANT,Salt Lake Kolkata,WB014
ACC_00067,ENT_00068,SAVINGS,2,DORMANT,2021-05-15,MEDIUM,True,DORMANT,Banjara Hills Hyderabad,TS008
ACC_00068,ENT_00069,SAVINGS,2,DORMANT,2024-01-02,MEDIUM,True,DORMANT,Anna Salai Chennai,TN019
ACC_00069,ENT_00070,SAVINGS,2,DORMANT,2023-05-03,MEDIUM,True,DORMANT,Shivaji Nagar Pune,MH033
ACC_00070,ENT_00071,SAVINGS,2,DORMANT,2021-10-20,MEDIUM,True,DORMANT,Mumbai Main Branch,MH001
ACC_00071,ENT_00072,SAVINGS,2,DORMANT,2024-08-19,MEDIUM,True,DORMANT,Kalyan East Branch,MH042
ACC_00072,ENT_00073,SAVINGS,2,DORMANT,2021-08-26,MEDIUM,True,DORMANT,Connaught Place Delhi,DL011
ACC_00073,ENT_00074,SAVINGS,2,DORMANT,2022-06-20,MEDIUM,True,DORMANT,MG Road Bengaluru,KA005
ACC_00074,ENT_00075,SAVINGS,2,DORMANT,2024-09-05,MEDIUM,True,DORMANT,Cyber City Gurugram,HR022
ACC_00075,ENT_00076,SAVINGS,2,DORMANT,2021-08-04,MEDIUM,True,DORMANT,BKC Corporate Tower,MH099
ACC_00076,ENT_00077,CURRENT,2,ACTIVE,2022-01-08,LOW,False,NONE,Salt Lake Kolkata,WB014
ACC_00077,ENT_00078,SALARY,3,ACTIVE,2024-09-17,LOW,False,NONE,Banjara Hills Hyderabad,TS008
ACC_00078,ENT_00079,SALARY,2,ACTIVE,2023-06-10,LOW,False,NONE,Anna Salai Chennai,TN019
ACC_00079,ENT_00080,CURRENT,3,ACTIVE,2023-11-20,LOW,False,NONE,Shivaji Nagar Pune,MH033
ACC_00080,ENT_00081,SAVINGS,3,ACTIVE,2021-06-04,LOW,False,NONE,Mumbai Main Branch,MH001
ACC_00081,ENT_00082,SALARY,3,ACTIVE,2023-05-24,LOW,False,NONE,Kalyan East Branch,MH042
ACC_00082,ENT_00083,SALARY,2,ACTIVE,2023-02-19,LOW,False,NONE,Connaught Place Delhi,DL011
ACC_00083,ENT_00084,SALARY,2,ACTIVE,2023-05-21,LOW,False,NONE,MG Road Bengaluru,KA005
ACC_00084,ENT_00085,SALARY,3,ACTIVE,2022-10-23,LOW,False,NONE,Cyber City Gurugram,HR022
ACC_00085,ENT_00086,SAVINGS,3,ACTIVE,2024-11-26,LOW,False,NONE,BKC Corporate Tower,MH099
ACC_00086,ENT_00087,CURRENT,2,ACTIVE,2021-11-22,LOW,False,NONE,Salt Lake Kolkata,WB014
ACC_00087,ENT_00088,CURRENT,3,ACTIVE,2021-06-10,LOW,False,NONE,Banjara Hills Hyderabad,TS008
ACC_00088,ENT_00089,SAVINGS,2,ACTIVE,2023-08-07,LOW,False,NONE,Anna Salai Chennai,TN019
ACC_00089,ENT_00090,SAVINGS,2,ACTIVE,2022-02-10,LOW,False,NONE,Shivaji Nagar Pune,MH033
ACC_00090,ENT_00091,SAVINGS,2,ACTIVE,2023-10-05,LOW,False,NONE,Mumbai Main Branch,MH001
ACC_00091,ENT_00092,SALARY,3,ACTIVE,2022-03-06,LOW,False,NONE,Kalyan East Branch,MH042
ACC_00092,ENT_00093,SALARY,2,ACTIVE,2024-01-14,LOW,False,NONE,Connaught Place Delhi,DL011
ACC_00093,ENT_00094,CURRENT,2,ACTIVE,2024-10-10,LOW,False,NONE,MG Road Bengaluru,KA005
ACC_00094,ENT_00095,SALARY,3,ACTIVE,2022-09-08,LOW,False,NONE,Cyber City Gurugram,HR022
ACC_00095,ENT_00096,CURRENT,3,ACTIVE,2022-06-22,LOW,False,NONE,BKC Corporate Tower,MH099
ACC_00096,ENT_00097,SALARY,3,ACTIVE,2024-05-25,LOW,False,NONE,Salt Lake Kolkata,WB014
ACC_00097,ENT_00098,CURRENT,3,ACTIVE,2022-04-26,LOW,False,NONE,Banjara Hills Hyderabad,TS008
ACC_00098,ENT_00099,SALARY,2,ACTIVE,2023-01-21,LOW,False,NONE,Anna Salai Chennai,TN019
ACC_00099,ENT_00100,CURRENT,3,ACTIVE,2021-12-28,LOW,False,NONE,Shivaji Nagar Pune,MH033
ACC_00100,ENT_00101,SALARY,2,ACTIVE,2023-02-25,LOW,False,NONE,Mumbai Main Branch,MH001
ACC_00101,ENT_00102,SAVINGS,3,ACTIVE,2024-09-05,LOW,False,NONE,Kalyan East Branch,MH042
ACC_00102,ENT_00103,CURRENT,2,ACTIVE,2022-08-12,LOW,False,NONE,Connaught Place Delhi,DL011
ACC_00103,ENT_00104,SAVINGS,3,ACTIVE,2021-07-17,LOW,False,NONE,MG Road Bengaluru,KA005
ACC_00104,ENT_00105,CURRENT,2,ACTIVE,2024-02-12,LOW,False,NONE,Cyber City Gurugram,HR022
ACC_00105,ENT_00106,SAVINGS,2,ACTIVE,2023-02-27,LOW,False,NONE,BKC Corporate Tower,MH099
ACC_00106,ENT_00107,SALARY,3,ACTIVE,2022-03-02,LOW,False,NONE,Salt Lake Kolkata,WB014
ACC_00107,ENT_00108,CURRENT,3,ACTIVE,2022-12-16,LOW,False,NONE,Banjara Hills Hyderabad,TS008
ACC_00108,ENT_00109,CURRENT,2,ACTIVE,2021-01-09,LOW,False,NONE,Anna Salai Chennai,TN019
ACC_00109,ENT_00110,SAVINGS,2,ACTIVE,2024-02-25,LOW,False,NONE,Shivaji Nagar Pune,MH033
ACC_00110,ENT_00111,CURRENT,2,ACTIVE,2023-02-02,LOW,False,NONE,Mumbai Main Branch,MH001
ACC_00111,ENT_00112,SAVINGS,3,ACTIVE,2024-02-04,LOW,False,NONE,Kalyan East Branch,MH042
ACC_00112,ENT_00113,CURRENT,2,ACTIVE,2022-12-05,LOW,False,NONE,Connaught Place Delhi,DL011
ACC_00113,ENT_00114,CURRENT,3,ACTIVE,2021-10-12,LOW,False,NONE,MG Road Bengaluru,KA005
ACC_00114,ENT_00115,SAVINGS,3,ACTIVE,2022-11-22,LOW,False,NONE,Cyber City Gurugram,HR022
ACC_00115,ENT_00116,SAVINGS,3,ACTIVE,2021-09-18,LOW,False,NONE,BKC Corporate Tower,MH099
ACC_00116,ENT_00117,SALARY,2,ACTIVE,2024-08-02,LOW,False,NONE,Salt Lake Kolkata,WB014
ACC_00117,ENT_00118,SALARY,3,ACTIVE,2023-05-24,LOW,False,NONE,Banjara Hills Hyderabad,TS008
ACC_00118,ENT_00119,SAVINGS,3,ACTIVE,2021-06-08,LOW,False,NONE,Anna Salai Chennai,TN019
ACC_00119,ENT_00120,SALARY,2,ACTIVE,2023-03-02,LOW,False,NONE,Shivaji Nagar Pune,MH033
ACC_00120,ENT_00121,CURRENT,3,ACTIVE,2022-11-15,LOW,False,NONE,Mumbai Main Branch,MH001
ACC_00121,ENT_00122,SALARY,3,ACTIVE,2022-03-03,LOW,False,NONE,Kalyan East Branch,MH042
ACC_00122,ENT_00123,SALARY,3,ACTIVE,2021-05-07,LOW,False,NONE,Connaught Place Delhi,DL011
ACC_00123,ENT_00124,SAVINGS,2,ACTIVE,2021-06-10,LOW,False,NONE,MG Road Bengaluru,KA005
ACC_00124,ENT_00125,SALARY,3,ACTIVE,2024-05-02,LOW,False,NONE,Cyber City Gurugram,HR022
ACC_00125,ENT_00126,SALARY,2,ACTIVE,2023-06-28,LOW,False,NONE,BKC Corporate Tower,MH099
ACC_00126,ENT_00127,SAVINGS,3,ACTIVE,2023-02-26,LOW,False,NONE,Salt Lake Kolkata,WB014
ACC_00127,ENT_00128,CURRENT,3,ACTIVE,2024-12-15,LOW,False,NONE,Banjara Hills Hyderabad,TS008
ACC_00128,ENT_00129,CURRENT,3,ACTIVE,2022-08-23,LOW,False,NONE,Anna Salai Chennai,TN019
ACC_00129,ENT_00130,CURRENT,3,ACTIVE,2023-02-24,LOW,False,NONE,Shivaji Nagar Pune,MH033
ACC_00130,ENT_00131,CURRENT,2,ACTIVE,2024-10-27,LOW,False,NONE,Mumbai Main Branch,MH001
ACC_00131,ENT_00132,SAVINGS,3,ACTIVE,2023-02-03,LOW,False,NONE,Kalyan East Branch,MH042
ACC_00132,ENT_00133,CURRENT,3,ACTIVE,2023-08-20,LOW,False,NONE,Connaught Place Delhi,DL011
ACC_00133,ENT_00134,SALARY,3,ACTIVE,2022-12-15,LOW,False,NONE,MG Road Bengaluru,KA005
ACC_00134,ENT_00135,CURRENT,3,ACTIVE,2021-12-28,LOW,False,NONE,Cyber City Gurugram,HR022
ACC_00135,ENT_00136,CURRENT,3,ACTIVE,2023-11-26,LOW,False,NONE,BKC Corporate Tower,MH099
ACC_00136,ENT_00137,SAVINGS,2,ACTIVE,2024-06-17,LOW,False,NONE,Salt Lake Kolkata,WB014
ACC_00137,ENT_00138,SALARY,2,ACTIVE,2021-03-28,LOW,False,NONE,Banjara Hills Hyderabad,TS008
ACC_00138,ENT_00139,SALARY,3,ACTIVE,2021-03-03,LOW,False,NONE,Anna Salai Chennai,TN019
ACC_00139,ENT_00140,SAVINGS,3,ACTIVE,2023-07-19,LOW,False,NONE,Shivaji Nagar Pune,MH033
ACC_00140,ENT_00141,SAVINGS,2,ACTIVE,2024-06-12,LOW,False,NONE,Mumbai Main Branch,MH001
ACC_00141,ENT_00142,CURRENT,2,ACTIVE,2022-09-12,LOW,False,NONE,Kalyan East Branch,MH042
ACC_00142,ENT_00143,CURRENT,3,ACTIVE,2023-04-04,LOW,False,NONE,Connaught Place Delhi,DL011
ACC_00143,ENT_00144,SAVINGS,2,ACTIVE,2024-09-13,LOW,False,NONE,MG Road Bengaluru,KA005
ACC_00144,ENT_00145,SALARY,2,ACTIVE,2023-05-23,LOW,False,NONE,Cyber City Gurugram,HR022
ACC_00145,ENT_00146,CURRENT,2,ACTIVE,2023-12-16,LOW,False,NONE,BKC Corporate Tower,MH099
ACC_00146,ENT_00147,SAVINGS,2,ACTIVE,2022-02-15,LOW,False,NONE,Salt Lake Kolkata,WB014
ACC_00147,ENT_00148,SAVINGS,3,ACTIVE,2021-11-28,LOW,False,NONE,Banjara Hills Hyderabad,TS008
ACC_00148,ENT_00149,CURRENT,3,ACTIVE,2021-09-18,LOW,False,NONE,Anna Salai Chennai,TN019
ACC_00149,ENT_00150,CURRENT,3,ACTIVE,2022-12-23,LOW,False,NONE,Shivaji Nagar Pune,MH033
ACC_00150,ENT_00151,SALARY,2,ACTIVE,2023-09-08,LOW,False,NONE,Mumbai Main Branch,MH001
ACC_00151,ENT_00152,SAVINGS,2,ACTIVE,2022-04-26,LOW,False,NONE,Kalyan East Branch,MH042
ACC_00152,ENT_00153,CURRENT,2,ACTIVE,2023-09-19,LOW,False,NONE,Connaught Place Delhi,DL011
ACC_00153,ENT_00154,CURRENT,3,ACTIVE,2022-10-03,LOW,False,NONE,MG Road Bengaluru,KA005
ACC_00154,ENT_00155,SAVINGS,3,ACTIVE,2024-12-24,LOW,False,NONE,Cyber City Gurugram,HR022
ACC_00155,ENT_00156,CURRENT,3,ACTIVE,2024-10-03,LOW,False,NONE,BKC Corporate Tower,MH099
ACC_00156,ENT_00157,SAVINGS,3,ACTIVE,2021-08-15,LOW,False,NONE,Salt Lake Kolkata,WB014
ACC_00157,ENT_00158,SALARY,3,ACTIVE,2022-09-21,LOW,False,NONE,Banjara Hills Hyderabad,TS008
ACC_00158,ENT_00159,SALARY,2,ACTIVE,2022-07-17,LOW,False,NONE,Anna Salai Chennai,TN019
ACC_00159,ENT_00160,SAVINGS,2,ACTIVE,2022-05-06,LOW,False,NONE,Shivaji Nagar Pune,MH033
ACC_00160,ENT_00161,SAVINGS,3,ACTIVE,2022-06-17,LOW,False,NONE,Mumbai Main Branch,MH001
ACC_00161,ENT_00162,CURRENT,2,ACTIVE,2023-04-21,LOW,False,NONE,Kalyan East Branch,MH042
ACC_00162,ENT_00163,SALARY,3,ACTIVE,2022-11-10,LOW,False,NONE,Connaught Place Delhi,DL011
ACC_00163,ENT_00164,SALARY,2,ACTIVE,2022-10-19,LOW,False,NONE,MG Road Bengaluru,KA005
ACC_00164,ENT_00165,SAVINGS,2,ACTIVE,2023-10-02,LOW,False,NONE,Cyber City Gurugram,HR022
ACC_00165,ENT_00166,SAVINGS,2,ACTIVE,2021-11-25,LOW,False,NONE,BKC Corporate Tower,MH099
ACC_00166,ENT_00167,SALARY,3,ACTIVE,2022-10-14,LOW,False,NONE,Salt Lake Kolkata,WB014
ACC_00167,ENT_00168,SALARY,2,ACTIVE,2024-11-18,LOW,False,NONE,Banjara Hills Hyderabad,TS008
ACC_00168,ENT_00169,CURRENT,3,ACTIVE,2024-04-26,LOW,False,NONE,Anna Salai Chennai,TN019
ACC_00169,ENT_00170,SALARY,3,ACTIVE,2023-08-03,LOW,False,NONE,Shivaji Nagar Pune,MH033
ACC_00170,ENT_00171,SALARY,2,ACTIVE,2022-08-14,LOW,False,NONE,Mumbai Main Branch,MH001
ACC_00171,ENT_00172,CURRENT,3,ACTIVE,2022-06-20,LOW,False,NONE,Kalyan East Branch,MH042
ACC_00172,ENT_00173,SAVINGS,3,ACTIVE,2023-12-28,LOW,False,NONE,Connaught Place Delhi,DL011
ACC_00173,ENT_00174,CURRENT,3,ACTIVE,2022-06-17,LOW,False,NONE,MG Road Bengaluru,KA005
ACC_00174,ENT_00175,SALARY,2,ACTIVE,2023-04-15,LOW,False,NONE,Cyber City Gurugram,HR022
ACC_00175,ENT_00176,SAVINGS,3,ACTIVE,2024-04-05,LOW,False,NONE,BKC Corporate Tower,MH099
ACC_00176,ENT_00177,SAVINGS,2,ACTIVE,2023-07-28,LOW,False,NONE,Salt Lake Kolkata,WB014
ACC_00177,ENT_00178,SALARY,3,ACTIVE,2022-03-27,LOW,False,NONE,Banjara Hills Hyderabad,TS008
ACC_00178,ENT_00179,CURRENT,3,ACTIVE,2022-03-16,LOW,False,NONE,Anna Salai Chennai,TN019
ACC_00179,ENT_00180,SALARY,3,ACTIVE,2024-05-16,LOW,False,NONE,Shivaji Nagar Pune,MH033
ACC_00180,ENT_00001,SAVINGS,2,ACTIVE,2024-09-15,LOW,False,NONE,Mumbai Main Branch,MH001
ACC_00181,ENT_00002,SAVINGS,2,ACTIVE,2023-01-02,LOW,False,NONE,Kalyan East Branch,MH042
ACC_00182,ENT_00003,CURRENT,3,ACTIVE,2024-05-18,LOW,False,NONE,Connaught Place Delhi,DL011
ACC_00183,ENT_00004,SAVINGS,2,ACTIVE,2024-03-09,LOW,False,NONE,MG Road Bengaluru,KA005
ACC_00184,ENT_00005,SALARY,3,ACTIVE,2024-06-02,LOW,False,NONE,Cyber City Gurugram,HR022
ACC_00185,ENT_00006,CURRENT,2,ACTIVE,2022-06-18,LOW,False,NONE,BKC Corporate Tower,MH099
ACC_00186,ENT_00007,CURRENT,2,ACTIVE,2024-09-15,LOW,False,NONE,Salt Lake Kolkata,WB014
ACC_00187,ENT_00008,SALARY,3,ACTIVE,2021-03-04,LOW,False,NONE,Banjara Hills Hyderabad,TS008
ACC_00188,ENT_00009,CURRENT,3,ACTIVE,2023-09-12,LOW,False,NONE,Anna Salai Chennai,TN019
ACC_00189,ENT_00010,SAVINGS,2,ACTIVE,2024-09-02,LOW,False,NONE,Shivaji Nagar Pune,MH033
ACC_00190,ENT_00011,SAVINGS,2,ACTIVE,2022-12-11,LOW,False,NONE,Mumbai Main Branch,MH001
ACC_00191,ENT_00012,CURRENT,3,ACTIVE,2022-10-17,LOW,False,NONE,Kalyan East Branch,MH042
ACC_00192,ENT_00013,SAVINGS,3,ACTIVE,2023-03-13,LOW,False,NONE,Connaught Place Delhi,DL011
ACC_00193,ENT_00014,SALARY,3,ACTIVE,2023-09-27,LOW,False,NONE,MG Road Bengaluru,KA005
ACC_00194,ENT_00015,SALARY,3,ACTIVE,2023-08-27,LOW,False,NONE,Cyber City Gurugram,HR022
ACC_00195,ENT_00016,SAVINGS,3,ACTIVE,2023-11-04,LOW,False,NONE,BKC Corporate Tower,MH099
ACC_00196,ENT_00017,CURRENT,3,ACTIVE,2021-10-16,LOW,False,NONE,Salt Lake Kolkata,WB014
ACC_00197,ENT_00018,CURRENT,2,ACTIVE,2021-10-16,LOW,False,NONE,Banjara Hills Hyderabad,TS008
ACC_00198,ENT_00019,SAVINGS,3,ACTIVE,2022-11-08,LOW,False,NONE,Anna Salai Chennai,TN019
ACC_00199,ENT_00020,SAVINGS,2,ACTIVE,2022-01-15,LOW,False,NONE,Shivaji Nagar Pune,MH033
ACC_00200,ENT_00021,CURRENT,3,ACTIVE,2022-07-23,LOW,False,NONE,Mumbai Main Branch,MH001
ACC_00201,ENT_00022,SAVINGS,3,ACTIVE,2024-12-24,LOW,False,NONE,Kalyan East Branch,MH042
ACC_00202,ENT_00023,SAVINGS,2,ACTIVE,2022-09-11,LOW,False,NONE,Connaught Place Delhi,DL011
ACC_00203,ENT_00024,SALARY,3,ACTIVE,2024-06-06,LOW,False,NONE,MG Road Bengaluru,KA005
ACC_00204,ENT_00025,CURRENT,3,ACTIVE,2023-11-25,LOW,False,NONE,Cyber City Gurugram,HR022
ACC_00205,ENT_00026,SALARY,3,ACTIVE,2024-04-08,LOW,False,NONE,BKC Corporate Tower,MH099
ACC_00206,ENT_00027,CURRENT,3,ACTIVE,2022-05-25,LOW,False,NONE,Salt Lake Kolkata,WB014
ACC_00207,ENT_00028,CURRENT,2,ACTIVE,2024-06-16,LOW,False,NONE,Banjara Hills Hyderabad,TS008
ACC_00208,ENT_00029,CURRENT,3,ACTIVE,2023-02-19,LOW,False,NONE,Anna Salai Chennai,TN019
ACC_00209,ENT_00030,SALARY,3,ACTIVE,2024-06-25,LOW,False,NONE,Shivaji Nagar Pune,MH033
ACC_00210,ENT_00031,SAVINGS,3,ACTIVE,2021-05-23,LOW,False,NONE,Mumbai Main Branch,MH001
ACC_00211,ENT_00032,SAVINGS,3,ACTIVE,2024-11-09,LOW,False,NONE,Kalyan East Branch,MH042
ACC_00212,ENT_00033,SALARY,3,ACTIVE,2022-04-27,LOW,False,NONE,Connaught Place Delhi,DL011
ACC_00213,ENT_00034,SALARY,3,ACTIVE,2023-03-04,LOW,False,NONE,MG Road Bengaluru,KA005
ACC_00214,ENT_00035,SALARY,2,ACTIVE,2022-01-22,LOW,False,NONE,Cyber City Gurugram,HR022
ACC_00215,ENT_00036,SALARY,2,ACTIVE,2022-01-04,LOW,False,NONE,BKC Corporate Tower,MH099
ACC_00216,ENT_00037,CURRENT,3,ACTIVE,2024-02-22,LOW,False,NONE,Salt Lake Kolkata,WB014
ACC_00217,ENT_00038,SAVINGS,2,ACTIVE,2022-07-21,LOW,False,NONE,Banjara Hills Hyderabad,TS008
ACC_00218,ENT_00039,CURRENT,3,ACTIVE,2022-05-11,LOW,False,NONE,Anna Salai Chennai,TN019
